,sid,cond,dimtype,ruletype,counter,ruledir,rulerelation,block,acc,dist_mn,dist_med,avg_dist_med,nsel,mn_nsel,mn_nsel_early,mn_nsel_late
85,249,0,relative,1D,1,positive,1D-C,5,0.875,0.8786875,0.798,0.761,0,2.875,5.75,0.0
86,249,0,relative,1D,1,positive,1D-C,6,0.875,0.803625,0.666,0.761,0,2.875,5.75,0.0
87,249,0,relative,1D,1,positive,1D-C,7,0.875,1.0266875,0.818,0.761,0,2.875,5.75,0.0
88,250,1,absolute,1D,1,positive,1D-F,0,0.9375,0.79845,0.7788,0.70035,9,4.0,7.5,0.5
89,250,1,absolute,1D,1,positive,1D-F,1,0.96875,0.6116,0.4824,0.70035,7,4.0,7.5,0.5
90,250,1,absolute,1D,1,positive,1D-F,2,1.0,0.73615,0.1164,0.70035,12,4.0,7.5,0.5
91,250,1,absolute,1D,1,positive,1D-F,3,1.0,0.9642,1.1024,0.70035,2,4.0,7.5,0.5
92,250,1,absolute,1D,1,positive,1D-F,4,1.0,0.6799,0.4904,0.70035,2,4.0,7.5,0.5
93,250,1,absolute,1D,1,positive,1D-F,5,1.0,0.9231,0.8832,0.70035,0,4.0,7.5,0.5
94,250,1,absolute,1D,1,positive,1D-F,6,0.96875,1.18295,1.1864,0.70035,0,4.0,7.5,0.5
95,250,1,absolute,1D,1,positive,1D-F,7,1.0,0.6143,0.5628,0.70035,0,4.0,7.5,0.5
96,251,2,relative,2D,0,comp,2D-P,0,0.65625,0.828121426746,0.670773875149,0.711882603197,16,12.25,15.75,8.75
97,251,2,relative,2D,0,comp,2D-P,1,0.625,1.24165262467,0.947018010518,0.711882603197,16,12.25,15.75,8.75
98,251,2,relative,2D,0,comp,2D-P,2,0.53125,0.959349610633,0.35917440072,0.711882603197,15,12.25,15.75,8.75
99,251,2,relative,2D,0,comp,2D-P,3,1.0,0.774966222284,0.344103576467,0.711882603197,16,12.25,15.75,8.75
100,251,2,relative,2D,0,comp,2D-P,4,1.0,1.03715783234,0.548578002824,0.711882603197,12,12.25,15.75,8.75
101,251,2,relative,2D,0,comp,2D-P,5,0.96875,1.00449080247,0.668818741191,0.711882603197,12,12.25,15.75,8.75
102,251,2,relative,2D,0,comp,2D-P,6,0.96875,0.930511384764,0.445933470071,0.711882603197,7,12.25,15.75,8.75
103,251,2,relative,2D,0,comp,2D-P,7,0.96875,1.65878860083,1.71066074863,0.711882603197,4,12.25,15.75,8.75
104,252,0,relative,1D,0,negative,1D-C,0,0.53125,1.8025625,1.777,0.7063125,15,4.5,5.0,4.0
105,252,0,relative,1D,0,negative,1D-C,1,0.59375,0.911,0.613,0.7063125,0,4.5,5.0,4.0
106,252,0,relative,1D,0,negative,1D-C,2,1.0,0.81025,0.7045,0.7063125,1,4.5,5.0,4.0
107,252,0,relative,1D,0,negative,1D-C,3,0.96875,0.7308125,0.4845,0.7063125,4,4.5,5.0,4.0
108,252,0,relative,1D,0,negative,1D-C,4,1.0,0.9881875,1.0475,0.7063125,3,4.5,5.0,4.0
109,252,0,relative,1D,0,negative,1D-C,5,0.96875,0.5755625,0.2075,0.7063125,4,4.5,5.0,4.0
110,252,0,relative,1D,0,negative,1D-C,6,1.0,0.81325,0.736,0.7063125,3,4.5,5.0,4.0
111,252,0,relative,1D,0,negative,1D-C,7,1.0,0.387,0.0805,0.7063125,6,4.5,5.0,4.0
112,253,3,absolute,2D,0,comp,2D-P,0,0.59375,0.834434880149,0.65562158698,0.813865241641,7,2.375,2.5,2.25
113,253,3,absolute,2D,0,comp,2D-P,1,0.71875,0.869627291379,0.637047814387,0.813865241641,0,2.375,2.5,2.25
114,253,3,absolute,2D,0,comp,2D-P,2,0.71875,1.47323416871,1.39824663506,0.813865241641,2,2.375,2.5,2.25
115,253,3,absolute,2D,0,comp,2D-P,3,0.71875,1.0008249263,0.620103320091,0.813865241641,1,2.375,2.5,2.25
116,253,3,absolute,2D,0,comp,2D-P,4,0.75,0.978218689918,0.969420587111,0.813865241641,3,2.375,2.5,2.25
117,253,3,absolute,2D,0,comp,2D-P,5,0.8125,1.07503855276,0.692443276508,0.813865241641,2,2.375,2.5,2.25
