,sid,cond,counter,acc,dist_mn,dist_med,avg_dist_med,nsel,mn_nsel,mn_nsel_early,mn_nsel_late,dimtype,ruletype,ruledir,rulerelation
93,339,3.0,1.0,0.4765625,0.88178068918,0.602873702093,0.602873702093,13.875,13.875,13.25,14.5,absolute,2D,negative,2D-N
94,342,1.0,0.0,0.5078125,1.09071875,0.98725,0.98725,1.75,1.75,3.5,0.0,absolute,1D,negative,1D-F
95,343,3.0,1.0,0.8359375,1.03782990963,0.869138507889,0.869138507889,7.25,7.25,11.25,3.25,absolute,2D,positive,2D-N
96,344,1.0,1.0,0.99609375,0.6589401875,0.4778,0.4778,8.625,8.625,12.5,4.75,absolute,1D,positive,1D-F
97,345,3.0,0.0,0.828125,0.953972992251,0.825514581469,0.825514581469,5.5,5.5,11.0,0.0,absolute,2D,comp,2D-P
98,346,0.0,0.0,1.0,0.72471875,0.485875,0.485875,9.125,9.125,13.75,4.5,relative,1D,positive,1D-F
99,347,2.0,0.0,0.96875,0.659734241808,0.471665884185,0.471665884185,8.625,8.625,8.5,8.75,relative,2D,comp,2D-P
100,348,3.0,0.0,0.7890625,0.528812820475,0.435994872455,0.435994872455,10.375,10.375,11.0,9.75,absolute,2D,comp,2D-P
101,349,1.0,0.0,0.98828125,0.757565628125,0.57175,0.57175,6.5,6.5,8.75,4.25,absolute,1D,positive,1D-F
102,350,2.0,0.0,0.9453125,0.416426985525,0.250175682606,0.250175682606,14.0,14.0,12.75,15.25,relative,2D,comp,2D-P
103,351,1.0,1.0,0.984375,0.73286875,0.6108,0.6108,7.375,7.375,12.5,2.25,absolute,1D,negative,1D-F
104,352,0.0,1.0,0.859375,0.877734375,0.76875,0.76875,15.5,15.5,15.5,15.5,relative,1D,negative,1D-C
105,353,3.0,1.0,0.72265625,0.961605142776,0.870197538783,0.870197538783,6.125,6.125,7.75,4.5,absolute,2D,negative,2D-N
106,354,2.0,1.0,0.61328125,0.849515887392,0.75354121267,0.75354121267,12.625,12.625,13.75,11.5,relative,2D,negative,2D-N
107,355,0.0,0.0,0.921875,0.9037109375,0.81525,0.81525,6.625,6.625,12.25,1.0,relative,1D,negative,1D-F
108,356,0.0,1.0,0.92578125,0.8804140625,0.792625,0.792625,8.875,8.875,15.5,2.25,relative,1D,positive,1D-F
109,357,2.0,1.0,0.890625,1.00572930855,0.885614584674,0.885614584674,6.0,6.0,11.5,0.5,relative,2D,positive,2D-N
110,362,1.0,0.0,0.921875,0.86778125,0.76425,0.76425,5.25,5.25,6.0,4.5,absolute,1D,positive,1D-F
111,363,0.0,0.0,0.9765625,0.9489375,0.885875,0.885875,8.375,8.375,11.5,5.25,relative,1D,negative,1D-F
112,364,3.0,0.0,0.84375,0.768958258562,0.550696064611,0.550696064611,7.75,7.75,5.25,10.25,absolute,2D,comp,2D-P
113,365,1.0,0.0,0.90234375,0.98771875,0.90605,0.90605,1.0,1.0,2.0,0.0,absolute,1D,positive,1D-C
114,366,2.0,0.0,0.95703125,0.698019736056,0.504516207861,0.504516207861,10.625,10.625,15.75,5.5,relative,2D,comp,2D-P
115,367,1.0,1.0,0.9921875,0.89418125,0.8685,0.8685,7.0,7.0,10.25,3.75,absolute,1D,negative,1D-C
116,373,2.0,1.0,0.8984375,1.12390290008,1.06356232375,1.06356232375,0.5,0.5,1.0,0.0,relative,2D,positive,2D-N
117,374,2.0,1.0,0.796875,0.673798859425,0.475952922705,0.475952922705,14.5,14.5,15.25,13.75,relative,2D,negative,2D-N
118,376,2.0,0.0,0.83203125,1.06978031163,1.06438714589,1.06438714589,0.625,0.625,1.25,0.0,relative,2D,comp,2D-P
119,377,2.0,1.0,0.8359375,1.05371028154,0.948596373869,0.948596373869,1.125,1.125,2.25,0.0,relative,2D,positive,2D-N
